Vehicle_ID,Velocity (m/s),Acceleration (m/s^2),Eccentricity,Community Neighborhood,Distance from RSU (m),RSU_Location,Latitude,Longitude,Vehicle_Type,Lane
Car_26,35.49,3.9,0.78,4,20.41,"[22.25360429869858, 84.83712802524929]",22.2536043,84.83712803,car,l1
Bus_43,22.76,12.23,0.6,5,15.98,"[22.25360429869858, 84.83712802524929]",22.2536043,84.83712803,bus,l1
Police_Vehicle_2,16.14,6.42,0.99,2,3.87,"[22.25360429869858, 84.83712802524929]",22.2536043,84.83712803,police vehicle,l1
Police vehicle_46,0,0,0,4,4.43,"[22.25360429869858, 84.83712802524929]",22.2536043,84.83712803,police vehicle,l1
Car_18,48.38,16,0.3,5,21.5,"[22.25360429869858, 84.83712802524929]",22.2536043,84.83712803,car,l1
Bus_12,34.06,-10.02,0.39,2,9.25,"[22.25360429869858, 84.83712802524929]",22.2536043,84.83712803,bus,l1
Car_29,46.49,1.33,0.27,5,16.28,"[22.25360429869858, 84.83712802524929]",22.2536043,84.83712803,car,l1
Car_11,48.86,-8.9,0.78,4,27.31,"[22.25360429869858, 84.83712802524929]",22.2536043,84.83712803,car,l1
Car_24,41.06,11.01,0.85,4,6.44,"[22.25360429869858, 84.83712802524929]",22.2536043,84.83712803,car,l1
Truck_3,29.04,7.93,0.43,5,12.54,"[22.25360429869858, 84.83712802524929]",22.2536043,84.83712803,truck,l1
Truck_4,27.07,5.3,0.18,3,5.8,"[22.25360429869858, 84.83712802524929]",22.2536043,84.83712803,truck,l1
Police vehicle_2,0,0,0,1,9.02,"[22.25360429869858, 84.83712802524929]",22.2536043,84.83712803,police vehicle,l1
Bus_16,22.3,2.87,0.77,5,2.15,"[22.25360429869858, 84.83712802524929]",22.2536043,84.83712803,bus,l1
Car_25,49.1,3.71,0.08,4,20.18,"[22.25360429869858, 84.83712802524929]",22.2536043,84.83712803,car,l1
Truck_34,26.47,8.33,0.14,5,29.82,"[22.25360429869858, 84.83712802524929]",22.2536043,84.83712803,truck,l1
Truck_41,27.26,2.23,0.18,4,16.39,"[22.25360429869858, 84.83712802524929]",22.2536043,84.83712803,truck,l1
Police vehicle_45,15.53,3.14,0.47,2,17.98,"[22.25360429869858, 84.83712802524929]",22.2536043,84.83712803,police vehicle,l1
Truck_20,28.82,3.7,0.3,3,19.4,"[22.25360429869858, 84.83712802524929]",22.2536043,84.83712803,truck,l1
Car_32,36.71,-0.39,0.51,5,21.94,"[22.25360429869858, 84.83712802524929]",22.2536043,84.83712803,car,l1
Police_Vehicle_1,13.63,-3.98,0.85,1,16.97,"[22.25360429869858, 84.83712802524929]",22.2536043,84.83712803,police vehicle,l1
Truck_42,29.74,-4.97,0.28,1,13.27,"[22.25360429869858, 84.83712802524929]",22.2536043,84.83712803,truck,l1
Truck_28,25.84,4.14,0.4,5,19.32,"[22.25360429869858, 84.83712802524929]",22.2536043,84.83712803,truck,l1
Car_17,46.06,6.69,0.77,1,8.13,"[22.25360429869858, 84.83712802524929]",22.2536043,84.83712803,car,l1
Car_38,40.67,-5.65,0.93,5,26.01,"[22.25360429869858, 84.83712802524929]",22.2536043,84.83712803,car,l1
Truck_9,28.93,0.7,0.3,1,25.14,"[22.25360429869858, 84.83712802524929]",22.2536043,84.83712803,truck,l1
Police_Vehicle_3,0,0,0,5,20.57,"[22.25360429869858, 84.83712802524929]",22.2536043,84.83712803,police vehicle,l1
Police vehicle_44,0,0,0,4,7.84,"[22.25360429869858, 84.83712802524929]",22.2536043,84.83712803,police vehicle,l1
Car_21,43.4,9.74,0.66,1,14.66,"[22.25360429869858, 84.83712802524929]",22.2536043,84.83712803,car,l1
Bus_14,34.59,4.31,0.75,1,2.73,"[22.25360429869858, 84.83712802524929]",22.2536043,84.83712803,bus,l1
Police vehicle_35,14.84,5.87,0.2,3,29.56,"[22.25360429869858, 84.83712802524929]",22.2536043,84.83712803,police vehicle,l1
Car_13,39.24,-0.25,1,4,9.62,"[22.25360429869858, 84.83712802524929]",22.2536043,84.83712803,car,l1
Bus_47,28.49,-3.51,0.85,4,12.26,"[22.25360429869858, 84.83712802524929]",22.2536043,84.83712803,bus,l1
Police vehicle_39,4.5,7.24,0.14,5,6.44,"[22.25360429869858, 84.83712802524929]",22.2536043,84.83712803,police vehicle,l1
Bus_1,34.77,-3.25,0.04,2,18.69,"[22.25360429869858, 84.83712802524929]",22.2536043,84.83712803,bus,l1
