Vehicle_ID,Velocity (m/s),Acceleration (m/s^2),Eccentricity,Community Neighborhood,Distance from RSU (m),RSU_Location,Latitude,Longitude,Vehicle_Type,Lane
Car_123,34.09,-8.87,0.98,4,7.66,"[22.25360429869858, 84.83712802524929]",22.2536043,84.83712803,car,l1
Truck_237,15.2,-4.44,0.8,16,9.81,"[22.25360429869858, 84.83712802524929]",22.2536043,84.83712803,truck,l1
Police vehicle_490,6.84,2.44,0.84,10,14.78,"[22.25360429869858, 84.83712802524929]",22.2536043,84.83712803,police vehicle,l1
Car_94,34.86,-2.07,0.63,17,4.12,"[22.25360429869858, 84.83712802524929]",22.2536043,84.83712803,car,l1
Police vehicle_241,4.54,3.34,0.53,18,9.44,"[22.25360429869858, 84.83712802524929]",22.2536043,84.83712803,police vehicle,l1
Police_Vehicle_4,11.44,-3.12,0.3,9,2.02,"[22.25360429869858, 84.83712802524929]",22.2536043,84.83712803,police vehicle,l1
Police vehicle_87,5.34,-8.99,0.28,13,16.19,"[22.25360429869858, 84.83712802524929]",22.2536043,84.83712803,police vehicle,l1
Truck_138,21,-4.16,0.34,16,10.75,"[22.25360429869858, 84.83712802524929]",22.2536043,84.83712803,truck,l1
Car_108,36.46,-10.27,0.18,17,16.69,"[22.25360429869858, 84.83712802524929]",22.2536043,84.83712803,car,l1
Police vehicle_239,16.75,-5.34,0.98,5,17.69,"[22.25360429869858, 84.83712802524929]",22.2536043,84.83712803,police vehicle,l1
Truck_311,21.14,-1.97,0.48,20,19.99,"[22.25360429869858, 84.83712802524929]",22.2536043,84.83712803,truck,l1
Bus_126,15.24,5.42,0.01,6,21.51,"[22.25360429869858, 84.83712802524929]",22.2536043,84.83712803,bus,l1
Police vehicle_413,19.36,2.46,0.96,9,17.22,"[22.25360429869858, 84.83712802524929]",22.2536043,84.83712803,police vehicle,l1
Truck_448,20.35,-3.95,0.19,18,13.2,"[22.25360429869858, 84.83712802524929]",22.2536043,84.83712803,truck,l1
Bus_219,15.5,-3.49,0.78,18,6.44,"[22.25360429869858, 84.83712802524929]",22.2536043,84.83712803,bus,l1
Bus_337,17.74,-5.06,0.18,2,21.78,"[22.25360429869858, 84.83712802524929]",22.2536043,84.83712803,bus,l1
Car_364,28.97,-2.24,0.42,14,29.59,"[22.25360429869858, 84.83712802524929]",22.2536043,84.83712803,car,l1
Car_135,35.26,5.71,0.71,3,13.22,"[22.25360429869858, 84.83712802524929]",22.2536043,84.83712803,car,l1
Police vehicle_340,14.51,0.17,0.81,17,20.67,"[22.25360429869858, 84.83712802524929]",22.2536043,84.83712803,police vehicle,l1
Police vehicle_358,8.11,7.3,0.47,20,20.86,"[22.25360429869858, 84.83712802524929]",22.2536043,84.83712803,police vehicle,l1
Police vehicle_107,3.54,-5,0.21,8,1.93,"[22.25360429869858, 84.83712802524929]",22.2536043,84.83712803,police vehicle,l1
Car_262,25.06,5.96,0.93,7,12.75,"[22.25360429869858, 84.83712802524929]",22.2536043,84.83712803,car,l1
Police_Vehicle_2,13.87,-6.81,0.01,14,29.87,"[22.25360429869858, 84.83712802524929]",22.2536043,84.83712803,police vehicle,l1
Police vehicle_305,0.6,3.08,0.8,5,15.68,"[22.25360429869858, 84.83712802524929]",22.2536043,84.83712803,police vehicle,l1
Truck_4,16.11,4.89,0.53,1,12.34,"[22.25360429869858, 84.83712802524929]",22.2536043,84.83712803,truck,l1
Police vehicle_285,9.32,9.91,0.26,2,1.48,"[22.25360429869858, 84.83712802524929]",22.2536043,84.83712803,police vehicle,l1
Bus_220,17.29,-0.28,0.06,5,21.39,"[22.25360429869858, 84.83712802524929]",22.2536043,84.83712803,bus,l1
Car_421,34.93,1.6,0.95,4,12.13,"[22.25360429869858, 84.83712802524929]",22.2536043,84.83712803,car,l1
Bus_24,0,0,0,14,29.04,"[22.25360429869858, 84.83712802524929]",22.2536043,84.83712803,bus,l1
Police vehicle_484,17.24,7.73,0.4,10,12.06,"[22.25360429869858, 84.83712802524929]",22.2536043,84.83712803,police vehicle,l1
