Vehicle_ID,Velocity (m/s),Acceleration (m/s^2),Eccentricity,Community Neighborhood,Distance from RSU (m),RSU_Location,Latitude,Longitude,Vehicle_Type,Lane
Truck_62,25,-1.4,0.02,18,8.61,"[22.25360429869858, 84.83712802524929]",22.2536043,84.83712803,truck,l1
Police vehicle_29,0,0,0,8,25.92,"[22.25360429869858, 84.83712802524929]",22.2536043,84.83712803,police vehicle,l1
Truck_67,20.52,8.63,0.91,9,17.75,"[22.25360429869858, 84.83712802524929]",22.2536043,84.83712803,truck,l1
Bus_4,20.18,-7.38,0.8,19,21.75,"[22.25360429869858, 84.83712802524929]",22.2536043,84.83712803,bus,l1
Police vehicle_93,5.19,8.64,0.77,11,26.56,"[22.25360429869858, 84.83712802524929]",22.2536043,84.83712803,police vehicle,l1
Bus_78,24.82,6.18,0.93,14,28.16,"[22.25360429869858, 84.83712802524929]",22.2536043,84.83712803,bus,l1
Police vehicle_8,0,0,0,11,15.11,"[22.25360429869858, 84.83712802524929]",22.2536043,84.83712803,police vehicle,l1
Police_Vehicle_4,0,0,0,8,8.68,"[22.25360429869858, 84.83712802524929]",22.2536043,84.83712803,police vehicle,l1
Police vehicle_63,0,0,0,6,29.17,"[22.25360429869858, 84.83712802524929]",22.2536043,84.83712803,police vehicle,l1
Police vehicle_86,9.4,-7.56,0.69,3,19.73,"[22.25360429869858, 84.83712802524929]",22.2536043,84.83712803,police vehicle,l1
Police vehicle_21,0.93,-4.76,0.98,19,7.06,"[22.25360429869858, 84.83712802524929]",22.2536043,84.83712803,police vehicle,l1
Police vehicle_9,0,0,0,14,22.93,"[22.25360429869858, 84.83712802524929]",22.2536043,84.83712803,police vehicle,l1
Police vehicle_16,5.34,3.52,0.85,11,5.07,"[22.25360429869858, 84.83712802524929]",22.2536043,84.83712803,police vehicle,l1
Bus_24,24.44,7.63,0.46,14,3.75,"[22.25360429869858, 84.83712802524929]",22.2536043,84.83712803,bus,l1
Police vehicle_52,10.91,-4.77,0.18,6,12.64,"[22.25360429869858, 84.83712802524929]",22.2536043,84.83712803,police vehicle,l1
Bus_79,0,0,0,12,10.2,"[22.25360429869858, 84.83712802524929]",22.2536043,84.83712803,bus,l1
Bus_57,26.52,2.79,0.28,9,8.15,"[22.25360429869858, 84.83712802524929]",22.2536043,84.83712803,bus,l1
Bus_26,22.4,-9.02,0.79,8,8.73,"[22.25360429869858, 84.83712802524929]",22.2536043,84.83712803,bus,l1
Police vehicle_14,14.83,9.03,0.99,16,8.5,"[22.25360429869858, 84.83712802524929]",22.2536043,84.83712803,police vehicle,l1
Bus_60,27.17,-2.94,0.92,5,6.46,"[22.25360429869858, 84.83712802524929]",22.2536043,84.83712803,bus,l1
Car_25,0,0,0,16,8.68,"[22.25360429869858, 84.83712802524929]",22.2536043,84.83712803,car,l1
Truck_83,22.22,-2.68,0.62,19,25.75,"[22.25360429869858, 84.83712802524929]",22.2536043,84.83712803,truck,l1
Car_3,0,0,0,18,20.3,"[22.25360429869858, 84.83712802524929]",22.2536043,84.83712803,car,l1
Truck_74,23.22,-4.59,0,15,29.91,"[22.25360429869858, 84.83712802524929]",22.2536043,84.83712803,truck,l1
Police vehicle_43,2.86,-2.62,0.32,15,0.21,"[22.25360429869858, 84.83712802524929]",22.2536043,84.83712803,police vehicle,l1
Police vehicle_35,1.5,0.62,0.26,7,27.03,"[22.25360429869858, 84.83712802524929]",22.2536043,84.83712803,police vehicle,l1
Car_69,33.25,-19.14,0.98,4,26.93,"[22.25360429869858, 84.83712802524929]",22.2536043,84.83712803,car,l1
Car_37,32.92,9.51,0.9,11,28.19,"[22.25360429869858, 84.83712802524929]",22.2536043,84.83712803,car,l1
Truck_75,0,0,0,18,15.99,"[22.25360429869858, 84.83712802524929]",22.2536043,84.83712803,truck,l1
Truck_92,22.24,-3.26,0.11,9,13.06,"[22.25360429869858, 84.83712802524929]",22.2536043,84.83712803,truck,l1
Car_94,28.4,4.92,0.01,7,15.65,"[22.25360429869858, 84.83712802524929]",22.2536043,84.83712803,car,l1
