Vehicle_ID,Velocity (m/s),Acceleration (m/s^2),Eccentricity,Community Neighborhood,Distance from RSU (m),RSU_Location,Latitude,Longitude,Vehicle_Type,Lane
Bus_261,17.3,7.96,0.93,15,5.72,"[22.25360429869858, 84.83712802524929]",22.2536043,84.83712803,bus,l1
Police vehicle_190,15.07,-6.92,0.15,11,3.67,"[22.25360429869858, 84.83712802524929]",22.2536043,84.83712803,police vehicle,l1
Truck_122,16.9,4.23,0.17,20,29.86,"[22.25360429869858, 84.83712802524929]",22.2536043,84.83712803,truck,l1
Bus_124,16.62,-4.45,0.86,7,2.81,"[22.25360429869858, 84.83712802524929]",22.2536043,84.83712803,bus,l1
Truck_198,15.41,-0.92,0.6,13,4.32,"[22.25360429869858, 84.83712802524929]",22.2536043,84.83712803,truck,l1
Car_128,26.52,17.95,0.41,8,22.22,"[22.25360429869858, 84.83712802524929]",22.2536043,84.83712803,car,l1
Bus_212,16.61,6.68,0.97,2,3.54,"[22.25360429869858, 84.83712802524929]",22.2536043,84.83712803,bus,l1
Police vehicle_16,0,0,0,15,7.35,"[22.25360429869858, 84.83712802524929]",22.2536043,84.83712803,police vehicle,l1
Police vehicle_326,6.06,3.57,0.72,20,17.15,"[22.25360429869858, 84.83712802524929]",22.2536043,84.83712803,police vehicle,l1
Truck_87,21.9,2.01,0.96,19,18.15,"[22.25360429869858, 84.83712802524929]",22.2536043,84.83712803,truck,l1
Police vehicle_69,6.32,1.87,0.02,14,3.42,"[22.25360429869858, 84.83712802524929]",22.2536043,84.83712803,police vehicle,l1
Truck_9,18.05,2.24,0.94,11,4.63,"[22.25360429869858, 84.83712802524929]",22.2536043,84.83712803,truck,l1
Car_162,32.57,-3.87,0.76,11,4.97,"[22.25360429869858, 84.83712802524929]",22.2536043,84.83712803,car,l1
Car_337,40.69,-11.26,0.61,3,10.14,"[22.25360429869858, 84.83712802524929]",22.2536043,84.83712803,car,l1
Police vehicle_338,0.67,-7.47,0.49,20,10.82,"[22.25360429869858, 84.83712802524929]",22.2536043,84.83712803,police vehicle,l1
Bus_314,15.07,7.76,0.08,20,4.26,"[22.25360429869858, 84.83712802524929]",22.2536043,84.83712803,bus,l1
Bus_360,16.31,5.54,0.59,19,1.88,"[22.25360429869858, 84.83712802524929]",22.2536043,84.83712803,bus,l1
Bus_383,17.27,1.9,0.09,18,29.04,"[22.25360429869858, 84.83712802524929]",22.2536043,84.83712803,bus,l1
Police vehicle_132,18.29,1.94,0.63,10,20.75,"[22.25360429869858, 84.83712802524929]",22.2536043,84.83712803,police vehicle,l1
Police vehicle_196,13.93,-7.59,0.53,2,24.83,"[22.25360429869858, 84.83712802524929]",22.2536043,84.83712803,police vehicle,l1
Car_166,40.29,8.85,0.41,14,16.99,"[22.25360429869858, 84.83712802524929]",22.2536043,84.83712803,car,l1
